quote_count,name,created,text,user_screen_name,hashtags,retweet_count,tweet_id,reply_count,_id,link_to_count,favorite_count
0,Sameer Maheshwari,2018-12-15 06:17:07,RT @mjakbar: Someone asked a good question. If experience is essential in Rajasthan and MP why is it not necessary for Congress President j…,SameerM61662168,[],0,1073824253298921472,0,5c149c6d71cf94109341f280,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,ठाँय ठाँय पिन्कू,2018-12-15 06:17:08,RT @KanchanGupta: Yogi had a 69% strike rate: 74 rallies in #AssemblyElections2018 with 51 wins for BJP. Strike rate would be higher if you…,ashwani9,"[{u'indices': [60, 82], u'text': u'AssemblyElections2018'}]",0,1073824259481448449,0,5c149c6f71cf94109341f282,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Revler ☪ 🇲🇾 🇮🇳,2018-12-15 06:39:13,"Jain Muni spewing communal hatred venom against Muslims

As recent elections took place
Pl Share… https://t.co/KMGyOlpX3Y",Revler411,[],0,1073829815688486913,0,5c14a19d71cf94121cbd126f,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Shravan Mansanpally 🇮🇳,2018-12-15 06:39:14,"RT @Satyanewshi: Will Rahul Gandhi be held responsible for this dalit attack now in Rajasthan, as they used to do with PM MODI ? https://t.…",MShravank,[],0,1073829821682237442,0,5c14a19d71cf94121cbd1271,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,Dineshkumarbohra,2018-12-15 06:39:16,"RT @1stIndiaNews: #Jodhpur #Rajasthan : 27 साल पूर्व की थी @ashokgehlot51 ने स्थापना, बन रहा युवाओं का भविष्य सुनहरा https://t.co/ulia8IMBCy",Dineshk05038656,"[{u'indices': [18, 26], u'text': u'Jodhpur'}, {u'indices': [27, 37], u'text': u'Rajasthan'}]",0,1073829827038171136,0,5c14a19e71cf94121cbd1273,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Karmanye Vadhikarste,2018-12-15 06:39:30,RT @RahulGandhi: The united colours of Rajasthan! https://t.co/D1mjKaaBsa,gyansr,[],0,1073829888883376128,0,5c14a1ad71cf941228031ee7,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0
0,Lalit Prakash,2018-12-15 06:39:33,RT @AshokTanwar_INC: Many Congratulations to @ashokgehlot51 Ji for being elected as the Chief Minister of #Rajasthan &amp; also congratulations…,Lalit63469099,"[{u'indices': [106, 116], u'text': u'Rajasthan'}]",0,1073829899884912641,0,5c14a1b071cf941228031ee9,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,First India News Rajasthan,2018-12-15 06:39:33,#Jodhpur #Rajasthan : जोधपुर सेंट्रल जेल में बंद कैदी की मौत https://t.co/vK2I4Ui3oN,1stIndiaNews,"[{u'indices': [0, 8], u'text': u'Jodhpur'}, {u'indices': [9, 19], u'text': u'Rajasthan'}]",0,1073829901420105733,0,5c14a1b071cf941228031eeb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0
0,Yash,2018-12-15 06:57:56,"RT @nsui: Congratulations to Shri @ashokgehlot51, the elected CM of Rajasthan. A man of the people, he will work tirelessly for their prosp…",puriyash41,[],0,1073834527867445248,0,5c14a5ff71cf9413b6092f11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Pukhraj Nain,2018-12-15 06:57:57,Are bhai Jab Rajasthan Ki Sarkar Gurjar Neta Sachin Ji Saath chali gai... Toh kahe Chinta karte ho,nain_pukhraj,[],0,1073834531763904513,0,5c14a60071cf9413b6092f13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
